Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Ковпак,Ганна,Антонівна,female,1949-04-15,Програміст,селище Сніжне,"провулок Кустанайський 2-й, буд. 045, Петрово-Красносілля, 75723",010 000-34-98,protsenkovadym@example.com
Байрак,Онисим,Глібович,male,1953-04-20,Музикант,селище Іршава,"парк Кавунова, буд. 9 кв. 4, Сокаль, 92386",+380 87 701 41 03,hennadiiolifirenko@example.com
Царенко,Роксолана,Орхипівна,female,1966-12-28,Ріелтор,село Умань,"набережна 14-та Суворовська, буд. 453, Підгайці, 07049",+380 (89) 987-10-84,azhazhadanna@example.org
Тягнибок,Ярослава,Микитівна,female,2003-01-29,Електротехнік,село Саки ,"шосе Локомотивний 3-й, буд. 07, Золочів, 72990",+380 (34) 479-21-02,semen93@example.net
Акуленко,Олена,Святославівна,female,1980-09-18,Бібліотекар,місто Рудки,"набережна Лінія 50-та, буд. 50, Вовчанськ, 44582",+380 21 650-39-91,udovenkoamaliia@example.net
Колесниченко,Теодор,Захарович,male,1964-02-07,Клоун,хутір Великі Мости,"площа Танкістів, буд. 8 кв. 82, Феодосія, 64036",+380 66 526 79 02,kybkalonataliia@example.org
Оберемко,Соломія,Юхимівна,female,1940-01-26,Філолог,місто Погребище,"узвіз 10-та Суворовська, буд. 781, Люботин, 40423",001-19-37,nalyvaikofedir@example.org
Скоробогатько,Еріка,Болеславівна,female,1939-03-02,Єгер,хутір Буськ,"узвіз Дунаєвського, буд. 017 кв. 0, Радехів, 81102",+380 42 245 83 72,babychenkopriska@example.org
Титаренко,Зорян,Мартинович,male,1979-03-11,Географ,селище Ржищів,"парк Тиха, буд. 12, Борзна, 19962",+380 79 888-85-59,iustym21@example.org
Гречко,Антон,Станіславович,male,1982-10-16,Хореограф,місто Лисичанськ,"проспект Садовського, буд. 627, Торецьк, 89068",+380 86 325-43-06,bskoryk@example.org
Андріїшин,Аліна,Андріївна,female,1961-03-18,Електромонтажник,селище Тячів,"набережна Шолохова, буд. 952 кв. 249, Південне , 90239",+380 10 767 45 38,nazarirvanets@example.com
Данько,Богданна,Богуславівна,female,1941-07-04,Кіноактор,хутір Коростень,"шосе Аеропортівський 1-й, буд. 518, Арциз, 55419",+380 (12) 335-85-84,ivan18@example.net
Атаманчук,Ольга,Миронівна,female,2007-03-04,Вчитель,хутір Кременець,"узвіз Естафетна, буд. 687, Глиняни, 97625",+380 99 868-95-87,rudkoihor@example.net
Дурдинець,Пріска,Іллівна,female,1973-12-22,Краєзнавець,село Барвінкове,"площа Бахчева, буд. 678, Болград, 68507",+380 98 045-12-50,ruslanbalaban@example.org
Щириця,Феофан,Ярославович,male,1971-08-22,Антрополог,місто Бровари,"набережна Супутників, буд. 5 кв. 27, Бунге , 69797",+380 51 130-95-16,iakymchukalevtyn@example.org
Масоха,Маруся,Едуардівна,female,1999-01-05,Кушнір,місто Бердянськ,"шосе Пассіонарії, буд. 66 кв. 689, Сокиряни, 38089",+380 (49) 697-64-39,olehiefymenko@example.com
Тесля,Дарина,Едуардівна,female,1988-02-25,Гірничий інженер,хутір Кременчук,"парк Лінія 51-ша, буд. 217 кв. 537, Ворожба, 32711",052 542-38-74,klavdiia12@example.net
Сіробаба,Єфрем,Тарасович,male,1987-07-03,Астроном,місто Федорівка,"площа Толбухіна, буд. 66, Таврійськ, 49036",+380 53 577-69-84,hlibtykhyi@example.com
Чарниш,Роксолана,Амвросійовна,female,1985-06-27,Етнограф,хутір Канів,"сквер Санітарна, буд. 480 кв. 863, Здолбунів, 73697",527 66 04,jdeisun@example.org
Жук,Омелян,Богодарович,male,1949-10-02,Випробувач,селище Скадовськ,"парк Палія Семена, буд. 1 кв. 0, Семенівка, 87107",025 975 06 36,arsenkonoplia@example.com
Дрозденко,Степан,Леопольдович,male,1948-08-06,Клоун,хутір Костянтинівка,"узвіз Трамвайна, буд. 0 кв. 9, Южне, 89063",261 44 05,kabaliukoles@example.org
Давиденко,Маруся,Соломонівна,female,1972-09-07,Юрист,місто Чуднів,"парк Дачна, буд. 523, Зміїв, 65204",+380 37 364 19 75,anita74@example.org
Журба,Святослава,Варфоломіївна,female,1953-10-16,Програміст,селище Новомиргород,"шосе Райдужна, буд. 52 кв. 7, Таврійськ, 53108",+380 (52) 956-51-96,bohuslavabatiuk@example.com
Тесля,Антон,Адамович,male,2002-06-03,Нотаріус,село Вилкове,"шосе Неплія, буд. 02 кв. 509, Черкаси, 56186",+380 55 773 33 06,qvernydub@example.org
Їжакевич,Олесь,Олексович,male,1991-07-21,Правник,селище Снігурівка,"узвіз Станційна 1-ша, буд. 896, Стебник, 28310",927 40 28,rshchors@example.org
Єрмоленко,Людмила,Макарівна,female,1968-05-28,Бізнесмен,село Верхівцеве,"парк Сонячна, буд. 367 кв. 332, Мерефа, 99337",+380 78 429-05-47,bbabiichuk@example.com
Корж,Людмила,Віталіївна,female,1962-10-28,Петрограф,село Броди,"шосе Академіка Гаркавого, буд. 25, Джанкой, 38386",+380 69 023-61-62,pavloadamenko@example.com
Вакарчук,Юхим,Пантелеймонович,male,1944-10-18,Ветеринар,місто Балаклія,"набережна Танфільєва, буд. 33 кв. 068, Конотоп, 35678",+380 (28) 495-82-27,vasylashkolarysa@example.org
Кабаненко,Антон,Веніяминович,male,1972-09-20,Фольклорист,хутір Борзна,"узвіз Слобідська, буд. 49, Дрогобич, 21249",770-03-30,svitlanausyk@example.net
Бабій,Кирило,Аркадійович,male,1971-10-01,Ді-джей,хутір Ромни,"проспект Дунаєвського 1-й, буд. 36, Галич, 10277",027 551-50-60,orynaorlyk@example.net
Захаренко,Галина,Святославівна,female,1972-02-27,Хореограф,село Кропивницький,"вулиця Прокатна, буд. 610, Славутич, 85080",017 29 62,iaremenkosvitlana@example.com
Габелко,Ада,Григоріївна,female,2008-01-24,Географ,хутір Іловайськ,"набережна Квіткова, буд. 63 кв. 675, Берислав, 75571",008 937 89 70,tmykhaliuk@example.com
Бабиченко,Леонід,Яковович,male,1979-05-16,Кінорежисер,місто Добромиль,"провулок Керченська, буд. 075, Новоазовськ, 69852",040 041 95 92,avrelii40@example.org
Орлик,Віра,Тарасівна,female,1982-12-02,Музикант,селище Чорнобиль,"парк Ломоносова, буд. 403, Івано-Франківськ, 96597",+380 83 365-32-94,chumachenkodanna@example.org
Михалюк,Ярослава,Артемівна,female,1982-10-09,Гірник,село Чистякове,"парк Тролейбусна, буд. 532 кв. 37, Долинська, 88137",+380 24 521-20-29,iaroslavhrechko@example.com
Пушкар,Христина,Володимирівна,female,1988-04-11,Реабілітолог,село Чортків,"провулок Академіка Вавилова, буд. 4 кв. 715, Судак , 81612",+380 06 768 31 81,roksolananazarenko@example.com
Верховинець,Владислав,Валентинович,male,1991-09-28,Адвокат,місто Городня,"парк Кредитний, буд. 9 кв. 1, Соледар, 66686",+380 (77) 222-96-15,odarka36@example.com
Юрчишина,Лариса,Федорівна,female,1957-05-01,Парфюмер,селище Березне,"набережна Бітумна, буд. 1, Звенигородка, 23627",+380 (69) 123-81-35,lemeshkomakar@example.net
Дерегус,Єва,Павлівна,female,1983-07-29,Секретар,хутір Помічна,"узвіз Більшовицький, буд. 121, Хорол , 16595",044 359-52-65,khoma83@example.org
Баклан,Лариса,Ігнатівна,female,1992-12-06,Сценарист,село Чигирин,"шосе Амбулаторний, буд. 855, Судак , 74719",093 741-49-91,sirobabamartyn@example.net
Корбут,Анжела,Станіславівна,female,1980-01-13,Доцент,хутір Рубіжне,"проспект Мигдальна, буд. 801 кв. 076, Щастя , 18683",+380 (42) 040-22-82,evakarchuk@example.com
Габелко,Андрій,Макарович,male,1955-03-25,Лікар,село Погребище,"вулиця Довженка, буд. 99 кв. 8, Ківерці, 40885",+380 46 828 98 45,amaliiashtokalo@example.org
Скопенко,Вадим,Романович,male,1948-06-09,Агроном,місто Святогірськ,"вулиця Москвіна, буд. 87 кв. 877, Рені, 11108",381 82 36,chabanopanas@example.net
Якименко,Ірина,Григоріївна,female,1987-04-19,Палеонтолог,селище Богуслав,"провулок Метрополітенівський, буд. 48 кв. 365, Гайворон, 36399",+380 (43) 594-66-79,violetta94@example.com
Єресько,Соломія,Станіславівна,female,1994-06-04,Вчитель,село Дрогобич,"провулок Тимірязєва 4-й, буд. 33, Татарбунари, 59819",089 533-49-27,ostapdavymuka@example.org
Данильчук,Лілія,Пантелеймонівна,female,1941-08-15,Доцент,хутір Гола Пристань,"шосе Райдужна, буд. 25 кв. 064, Тернопіль, 81057",777-05-80,omishchenko@example.org
Дейнека,Ігор,Євгенійович,male,1980-03-22,Паблік рилейшнз,місто Рахів,"шосе Пересипська 3-тя, буд. 03 кв. 51, Хрустальний, 73233",+380 (40) 672-68-39,erika84@example.com
Юрчишин,Єва,Григоріївна,female,1942-06-21,Громадський діяч,місто Зіньків,"проспект Дальній, буд. 81, Радомишль, 42924",+380 61 868 14 50,deinekaoleh@example.com
Щербань,Гордій,Гаврилович,male,1974-08-05,Євнух,село Олександрівськ,"проспект Аркадіївський, буд. 3 кв. 534, Решетилівка, 70583",+380 48 368 35 33,irvanetssymon@example.com
Артюшенко,Амвросій,Демʼянович,male,1961-05-18,Дерун,місто Старий Крим,"проспект Ялинкова, буд. 7 кв. 5, Чортків, 82703",006 002 92 37,tetianailchenko@example.org
Михайличенко,Соломон,Глібович,male,1974-12-22,Художник,село Самбір,"сквер Садиковська, буд. 86 кв. 307, Дунаївці, 18162",+380 (46) 333-25-83,azhadan@example.net
Рева,Герман,Зорянович,male,1948-01-30,Головний меркшейдер,хутір Перечин,"узвіз Марата, буд. 3 кв. 092, Жовті Води, 10017",080 799 84 57,hohol-ianovskastanislav@example.net
Литвиненко,Лукʼян,Іванович,male,1974-02-07,Кушнір,село Чортків,"узвіз Наявний 7-й, буд. 88 кв. 1, Голубівка, 84118",+380 (07) 985-34-71,hermanivanychuk@example.org
Ємець,Наталія,Мирославівна,female,1955-05-01,Науковець,місто Буринь,"площа Світлий, буд. 192, Пирятин, 06907",019 613 19 44,mamchurdanna@example.org
Ісаєнко,Олена,Лесівна,female,1988-06-19,Різноробочий,місто Долина ,"парк Аеродромний 2-й, буд. 27 кв. 04, Скалат, 32385",017 152 50 40,iefrem73@example.net
Шовкопляс,Ростислав,Тарасович,male,2001-07-04,Журналіст,хутір Очаків,"провулок Цебриківська, буд. 61 кв. 1, Заводське, 11974",+380 18 934 99 03,uperebyinis@example.org
Кабаненко,Софія,Марківна,female,2008-06-13,Музикознавець,хутір Рівне,"провулок Газовий, буд. 3 кв. 12, Синельникове, 34061",+380 55 652-07-35,nazarabramchuk@example.org
Єременко,Орися,Симонівна,female,1999-02-18,Кінолог,селище Новогродівка,"узвіз Лиманчик 2-й Лінія 4-та, буд. 277 кв. 9, Сімферополь, 65648",032 375-99-72,tymofii45@example.net
Талан,Світлана,Тимофіївна,female,1946-08-17,Співак,село Вільногірськ,"набережна 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 238 кв. 98, Бершадь, 27212",+380 54 127-54-97,volodymyrakorpaniuk@example.net
Ящук,Георгій,Захарович,male,1954-08-29,Редактор,хутір Голубівка,"проспект Будівельна, буд. 690, Лутугине, 02564",984 95 92,cvyshniak@example.com
Сомко,Клавдія,Арсенівна,female,1989-05-17,Фотограф,місто Федорівка,"узвіз Вірського, буд. 072 кв. 10, Каховка, 84262",030 656-56-92,sasaula@example.org
Гаврилів,Хома,Олексович,male,1974-04-26,Юрист,місто Теплодар,"парк Кишинівська, буд. 3 кв. 1, Деражня, 57312",068 660-39-79,andriichukkamilla@example.net
Бевзенко,Ярослава,Станіславівна,female,1963-08-13,Промисловець,селище Сватове,"шосе Нафтовиків 3-й, буд. 8 кв. 69, Березань , 34222",+380 91 243-76-83,mveres@example.com
Червоненко,Віктор,Ааронович,male,2008-02-06,Сантехнік,хутір Миколаївка ,"сквер Пісочний, буд. 1 кв. 18, Волочиськ, 74797",+380 46 316-32-40,anita92@example.com
Тесля,Аліна,Григоріївна,female,1942-12-15,Художник,місто Кам'янець-Подільський,"проспект Верещагіна, буд. 490 кв. 319, Харцизьк, 59179",381 59 42,ievtushenkovasyl@example.net
Литвиненко,Дарина,Ааронівна,female,1997-10-14,Професор,село Сімферополь,"проспект Аркадіївський, буд. 475 кв. 8, Овруч, 65743",+380 08 591-42-51,nbarabash@example.net
Данильчук,Святослава,Святославівна,female,2002-05-05,Електромонтажник,місто Яворів,"вулиця Проценка, буд. 95 кв. 9, Мирноград, 04774",078 419 90 80,ckyrylenko@example.net
Мамчур,Володимира,Борисівна,female,2002-08-19,Акушер,селище Ватутіне,"сквер Нафтовиків, буд. 852, Красноперекопськ, 98246",037 233 81 94,dannadubenko@example.net
Девдюк,Охрім,Степанович,male,1939-10-15,Археолог,селище Лиман ,"площа Крилова, буд. 07 кв. 121, Кам'янець-Подільський, 38722",012 741 65 36,shylotereza@example.net
Скорик,Варвара,Єлисеївна,female,1957-06-26,Гірничий інженер,селище Новодністровськ,"сквер Побратимів, буд. 341 кв. 686, Ананьїв, 44019",260 70 99,iryna26@example.net
Затула,Амвросій,Олексович,male,1958-06-25,Випробувач,село Сновськ,"вулиця Листяний, буд. 89, Борислав, 71848",904 99 87,onysym40@example.net
Ващенко,Геннадій,Леонтійович,male,1999-04-09,Дантист,селище Почаїв,"площа Слави, буд. 196 кв. 08, Ківерці, 98445",+380 (17) 382-66-57,orysiakhomyk@example.com
Дрозд,Дан,Єфремович,male,1939-01-07,Різноробочий,хутір Бережани,"парк Каретний, буд. 991, Новояворівськ, 80731",+380 (12) 910-51-00,jilienko@example.com
Батюк,Оксана,Остапівна,female,1961-12-07,Бухгалтер,село Ладижин,"сквер Трамвайний, буд. 5, Гола Пристань, 74494",069 904 45 34,parmen90@example.org
Василевич,Трохим,Симонович,male,1978-01-07,Кінорежисер,хутір Покров,"парк Зоопаркова, буд. 0 кв. 737, Хмільник, 41297",+380 19 810 35 23,aarondemianenko@example.com
Яковенко,Надія,Олександрівна,female,1974-03-17,Епідеміолог,село Старокостянтинів,"сквер Мічманський 2-й, буд. 667, Тетіїв, 47531",042 893-23-98,gerusvladyslav@example.org
Гунько,Болеслав,Пилипович,male,2004-12-28,Пілот,село Костопіль,"проспект Братів Поджіо, буд. 8, Вараш, 31519",+380 (80) 249-55-50,zakharhaida@example.net
Шведченко,Надія,Миронівна,female,1962-12-31,Пілот,хутір Нетішин,"узвіз Кропивницького, буд. 6 кв. 8, Сулимівка (Слов'янськ), 79669",+380 46 578-32-79,vasyl16@example.net
Сомко,Лесь,Ростиславович,male,2005-08-26,Різноробочий,село Берестечко,"сквер Технічний, буд. 150, Гайворон, 87876",+380 59 726-62-93,onishchukpriska@example.net
Малик,Руслан,Леонтійович,male,1980-04-10,Кіноактор,село Свалява,"шосе Семафорний, буд. 69 кв. 499, Кам'янка-Дніпровська, 48073",+380 81 050-75-89,dbabiuk@example.net
Кабалюк,Миколай,Богуславович,male,1959-03-05,Сантехнік,село Сновськ,"набережна Місячна, буд. 5 кв. 37, Городня, 15133",518-02-81,oleksandrdanylenko@example.net
Червоненко,Дарина,Георгіївна,female,1995-06-15,Фізик,селище Красноперекопськ,"провулок Сергія Ядова, буд. 8 кв. 53, Тальне, 48407",030 054 34 57,csheremeta@example.com
Шеремет,Дан,Пилипович,male,2001-10-16,Мовознавець,місто Інкерман,"проспект Остапа Вишні, буд. 10, Пустомити, 59294",+380 (08) 610-65-14,albinaradchenko@example.com
Шеремет,Яків,Максимович,male,1939-11-26,Клоун,селище Ананьїв,"набережна Манежна, буд. 171 кв. 71, Радомишль, 64772",+380 46 778 40 40,hsemenchenko@example.net
Арсенич,Оксана,Юхимівна,female,1980-03-03,Науковець,хутір Сновськ,"провулок Каштанова, буд. 7, Бар, 40792",+380 48 663-39-45,anita09@example.org
Гайдамака,Лукʼян,Глібович,male,1952-04-29,Ботанік,селище Моспине,"вулиця 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 740, Роздільна, 34577",032 878-40-20,tpushkar@example.net
Євдокименко,Остап,Михайлович,male,1967-01-29,Сценарист,селище Червоносів,"узвіз Пісочний, буд. 5 кв. 2, Тетіїв, 70283",044 468 24 54,danyloieremenko@example.net
Гавриш,Ігнат,Орхипович,male,1957-04-25,Інженер,місто Тернопіль,"вулиця Лобачевського, буд. 69, Гайсин, 84555",200 03 46,mariia83@example.net
Дзиндра,Людмила,Глібівна,female,2001-07-09,Промисловець,селище Берислав,"шосе Сабанський, буд. 362 кв. 210, Охтирка, 11421",061 730 74 87,khomavyshyvana@example.com
Габелко,Валентина,Антонівна,female,1940-06-17,Випробувач,село Валки ,"вулиця Академіка Сахарова, буд. 803 кв. 8, Старий Крим, 24018",+380 87 937 51 01,stefan67@example.com
Шовкопляс,Марія,Веніяминівна,female,1979-02-15,Фармацевт,село Лутугине,"узвіз Осипова, буд. 477, Вижниця, 27403",084 244-69-77,xhres@example.net
Гузенко,Марина,Бориславівна,female,1987-04-18,Агроном,місто Антрацит ,"набережна Лядова, буд. 67, Надвірна, 98842",+380 34 532-34-68,makarieremenko@example.net
Дараган,Нестор,Станіславович,male,1949-07-10,Стоматолог,хутір Карлівка,"узвіз Ліверпульський, буд. 675 кв. 3, Здолбунів, 01218",+380 (69) 866-73-45,lesasaula@example.org
Тимченко,Костянтин,Владиславович,male,2008-04-03,Кінокритик,місто Арциз,"шосе Елеваторна, буд. 1 кв. 562, Теплодар, 18002",973-68-36,emiliia13@example.org
Зінченко,Аліна,Ігнатівна,female,1997-02-23,Швачка,селище Южне,"парк Нафтовиків 3-й, буд. 15 кв. 7, Бровари, 28056",034-32-33,boleslav82@example.org
Атрощенко,Оксенія,Венедиктівна,female,1987-04-09,Інженер,село Кам'янець-Подільський,"узвіз Магнітогорський 3-й, буд. 9 кв. 0, Золоте, 98140",+380 42 173 91 37,ivaniatseniuk@example.com
Малишко,Михайлина,Йосипівна,female,1994-10-30,Скульптор,місто Тетіїв,"проспект Софіївська, буд. 9, Володимир-Волинський, 30966",342-11-48,panchuksviatoslava@example.net
Ярош,Борис,Яремович,male,1945-05-21,Електрик,хутір Березне,"шосе Аеропортівська, буд. 1, Горлівка, 42489",+380 06 012 47 75,mtsiupa@example.org
Сірченко,Григорій,Орестович,male,1980-10-28,Стропальник,селище Новодружеськ,"парк Абрикосовий, буд. 427, Рогатин, 69802",+380 61 467 45 46,orynaadamchuk@example.com
Власенко,Леонід,Климентович,male,1956-01-02,Дантист,хутір Дніпро ,"парк Лінія 36-та, буд. 8 кв. 3, Подільськ, 34229",008 644 71 46,ttryhub@example.net
Симоненко,Ірена,Мартинівна,female,1953-06-14,Дерун,село Стрий,"провулок Рівності 2-й, буд. 3 кв. 874, Путивль, 62451",875 08 73,xvivcharenko@example.net
Ющенко,Амвросій,Глібович,male,2000-09-11,Кушнір,село Хуст,"парк Глазунова 1-й, буд. 48 кв. 79, Буча, 59683",048 702-94-27,akhudobiak@example.com
Дараган,Дарина,Артемівна,female,2000-12-29,Геофізик,хутір Бурштин ,"шосе Танкістів, буд. 420 кв. 99, Олександрія, 06200",090-33-04,venedykt53@example.org
Скирда,Дан,Мартинович,male,1959-02-24,Економіст,хутір Старобільськ,"площа 14-та Суворовська, буд. 2, Керч, 02883",+380 64 052-23-81,emiliia56@example.com
Притула,Тетяна,Геннадіївна,female,1942-06-10,Економіст,хутір Ямпіль,"площа Пересипська 10-та, буд. 40 кв. 67, Ананьїв, 65827",531 85 30,bviter@example.org
Пустовіт,Тетяна,Русланівна,female,1986-06-16,Співак,місто Географія Вільнянська,"вулиця Академіка Гаркавого, буд. 9, Немирів, 22245",322 95 68,wdurdynets@example.com
Тягнибок,Охрім,Хомович,male,1959-01-14,Акушер,селище Іллінці,"парк Сурикова, буд. 9 кв. 59, Калинівка , 40078",936 13 26,lshapoval@example.net
Панчук,Михайло,Охрімович,male,1993-11-25,Ґрунтознавець,місто Яготин,"парк Нафтовиків, буд. 931 кв. 718, Вижниця, 30904",+380 97 295 07 01,makar10@example.org
Адамчук,Юстина,Іллівна,female,1946-06-19,Музичний редактор,хутір Могилів-Подільський,"шосе 13-та ст. Великого Фонтану пляж, буд. 1, Прип'ять , 33513",+380 (43) 205-44-30,zchaban@example.com
Дашенко,Юстина,Стефанівна,female,2000-06-27,Антрополог,село Городня,"узвіз Щоголєва, буд. 36 кв. 0, Полтава, 79047",+380 10 948-11-03,wshcherbak@example.net
Артимишин,Болеслав,Олегович,male,1947-07-26,Археолог,селище Вишневе ,"сквер Павла Кравцова, буд. 0 кв. 1, Винники, 97225",+380 81 389 62 38,oleksandrbabenko@example.com
Євтушок,Наталія,Ярославівна,female,1980-09-03,Скульптор,хутір Копичинці,"парк Рульовий, буд. 2 кв. 52, Бахчисарай, 74023",+380 33 251-13-02,milenamykhailiuk@example.com
Александренко,Мартин,Вʼячеславович,male,1972-09-06,Випробувач,селище Нова Каховка,"проспект Студентський 4-й, буд. 185 кв. 52, Горлівка, 32868",069 311 66 32,hhres@example.com
Гайворонська,Сніжана,Аркадіївна,female,1943-12-29,Флорист,селище Українка ,"набережна Заводська, буд. 58, Авдіївка, 95999",061 695 36 84,kolodubhalyna@example.net
Оробець,Євген,Віталійович,male,1942-07-15,Державний службовець,селище Кривий Ріг,"набережна Економічний, буд. 3, Тернівка , 17183",+380 61 715-71-29,danna27@example.org
Абрамчук,Михайло,Олексович,male,1944-05-05,Клоун,хутір Ромни,"площа Керченський 2-й, буд. 61 кв. 9, Великі Мости, 53500",+380 42 404-26-07,shtokalooleksa@example.com
Іваненко,Мартин,Ярославович,male,1977-09-10,Кушнір,селище Середина-Буда,"проспект Лядова, буд. 4, Новоазовськ, 06794",+380 26 047 15 22,nadiia46@example.com
Абрагамовський,Азар,Гордійович,male,1999-02-01,Клавішник,хутір Ромни,"вулиця Кленова, буд. 191, Олександрівськ, 50840",066-41-54,qvalenko@example.com
Ватаманюк,Олесь,Валентинович,male,1943-11-24,Стоматолог,хутір Жовті Води,"узвіз Шишкіна 1-й, буд. 5, Вижниця, 82309",068 755-32-98,pusyk@example.org
Дробаха,Володимира,Давидівна,female,1946-11-11,Єгер,місто Малин,"парк Яблочкіної, буд. 962, Чорноморськ, 93650",+380 (44) 882-74-20,valentynaskyrda@example.org
Архимович,Демʼян,Остапович,male,1976-08-01,Музикознавець,село Судова Вишня,"проспект Грибоєдова, буд. 20 кв. 120, Ніжин, 84921",+380 09 280 40 46,rostyslav62@example.com
Охримович,Михайло,Панасович,male,1950-05-13,Адвокат,селище Березне,"шосе Шовкуненка, буд. 4, Хирів, 78998",738-99-43,tarasromanenko@example.org
Аврамчук,Оксенія,Семенівна,female,1978-12-12,Літературознавець,місто Міусинськ,"парк Восьмого березня узвіз, буд. 8, Судова Вишня, 16653",+380 93 636 88 68,davyd13@example.net
Філіпенко,Ігнат,Леонтійович,male,1971-10-15,Скульптор,хутір Васильків,"сквер Калнишевського Петра, буд. 1 кв. 891, Боярка, 62534",867-65-00,avhustyn09@example.com
Корсун,Стефан,Семенович,male,1955-08-05,Мікробіолог,село Довжанськ,"площа Лінія 45-та, буд. 2, Березне, 35452",886-53-94,nhavryliv@example.com
Дараган,Євген,Федорович,male,2000-10-05,Лікар,хутір Дніпрорудне,"набережна Леха Качинського, буд. 44 кв. 7, Шепетівка, 40556",+380 59 377-05-99,leontii05@example.org
Шелест,Артем,Теодорович,male,1949-06-14,Конструктор,місто Ковель,"площа Семінарська, буд. 3 кв. 84, Рогатин, 57331",+380 07 202-27-53,medvedenkonadiia@example.com
Пилипенко,Ольга,Дмитріївна,female,2004-07-06,Письменник,місто Тальне,"площа Восьмого березня 5-й, буд. 03, Щолкіне, 85458",072 331 02 87,viktorazhazha@example.com
Євдокименко,Данна,Зорянівна,female,1950-02-19,Перекладач,село Рівне,"вулиця Олександра Матросова, буд. 24, Васильків, 88287",+380 78 583 08 22,oleksashchors@example.net
Іванченко,Адам,Ростиславович,male,1951-03-17,Зоолог,селище Чортків,"набережна Озерна, буд. 57, Біляївка, 01060",098 546 87 60,pavlomalyshko@example.net
Вертипорох,Єлисей,Ааронович,male,1976-09-26,Історик,селище Вознесенівка,"шосе Чорноморський 1-й, буд. 22 кв. 5, Верхньодніпровськ, 20195",092 477-12-87,darynavlasenko@example.net
Цушко,Зорян,Венедиктович,male,2007-05-21,Редактор,місто Корсунь-Шевченківський,"проспект Марата 2-й, буд. 93, Мукачево, 96001",+380 77 906-18-10,ovalenko@example.com
Цимбал,Володимира,Вікторівна,female,1958-12-06,Кухар,село Шаргород,"шосе Мічуріна, буд. 072, Харцизьк, 41427",+380 (25) 338-61-97,borysriabchenko@example.com
Смик,Аркадій,Несторович,male,1979-02-23,Конструктор,місто Сквира,"набережна Дорожня, буд. 988, Ворожба, 29920",+380 54 842 24 26,mariana04@example.org
Зінчук,Камілла,Захарівна,female,1949-12-16,Реставратор,село Любомль,"вулиця Альпіністів, буд. 884 кв. 50, Дунаївці, 03843",+380 95 578-39-08,gartiukh@example.net
Швачко,Ярослава,Азарівна,female,1994-06-06,Єгер,хутір Харцизьк,"сквер Сибірська, буд. 209, Гуляйполе, 53330",003 611 74 22,gkorolenko@example.org
Демʼяненко,Софія,Вʼячеславівна,female,1961-08-24,Шериф,хутір Алупка,"парк Писарева, буд. 64 кв. 29, Броди, 38705",+380 84 073-31-29,yshcherban@example.com
Зарудний,Веніямин,Данилович,male,2001-02-26,Мікробіолог,місто Кам'янка-Бузька,"шосе Білоруська, буд. 874 кв. 0, Сєвєродонецьк, 46183",131 65 70,iakovenkomaksym@example.org
Василашко,Амалія,Ярославівна,female,1952-01-11,Стропальник,село Теплодар,"проспект Вільгельма Габсбурга, буд. 98, Тульчин, 15994",+380 08 497-39-27,shtepaiukhym@example.net
Гунько,Дарина,Давидівна,female,1953-03-02,Живописець,селище Нова Одеса,"вулиця Фабрична, буд. 3, Мала Виска, 97351",351 32 48,chervonenkostepan@example.com
Малик,Устим,Григорійович,male,2004-08-01,Архітектор,селище Тисмениця,"шосе Асташкіна, буд. 8 кв. 561, Хрестівка, 38698",282 41 58,hkorolenko@example.com
Василашко,Микита,Федорович,male,1981-02-24,Бібліотекар,село Хорол ,"узвіз Лазурний 4-й, буд. 850, Путивль, 84119",971 53 68,ppavlenko@example.net
Петренко,Ярема,Аркадійович,male,1998-09-08,Письменник,село Бібрка,"сквер Басейний 6-й, буд. 521 кв. 650, Жмеринка, 29487",597-85-63,sbairak@example.org
Хорішко,Мілена,Єфремівна,female,1968-06-19,Юрист,місто Березань ,"парк Крилова, буд. 64 кв. 0, Мала Виска, 14780",440-37-50,irena57@example.com
Габелко,Валентин,Святославович,male,1994-12-12,Кінолог,хутір Кобеляки,"узвіз Лінія 29-та, буд. 50 кв. 224, Новий Калинів, 63320",004 006 09 10,maksymzharko@example.net
Левченко,Аліна,Алевтинівна,female,2000-08-28,Палеонтолог,село Немирів,"провулок Харківська, буд. 3, Армянськ, 82182",+380 (57) 944-23-17,ivasiukvasylyna@example.org
Ткаченко,Роксолана,Артемівна,female,1992-10-22,Швачка,селище Київ,"вулиця Наливна, буд. 5, Синельникове, 07276",067 908-94-32,akulenkohryhorii@example.net
Самойленко,Альбіна,Орхипівна,female,2005-07-13,Історик,село Подільськ,"проспект Магістральна, буд. 2 кв. 94, Золотоноша, 08404",074 821 94 18,hresvarvara@example.net
Дубина,Богуслава,Стефанівна,female,1981-01-05,Режисер,хутір Старокостянтинів,"вулиця Лиманний, буд. 594 кв. 79, Скадовськ, 02856",510 10 27,lutsenkomaryna@example.org
Сагаль,Станіслав,Федорович,male,1947-08-18,Сантехнік,селище Кролевець,"проспект Локомотивний 1-й, буд. 2 кв. 28, Бахмут, 69983",+380 07 627-07-55,samoilenkoadam@example.com
